period,period_version,is_active,title,source_url,document_date,discovered_at_utc,error
201901,1,True,01/2019,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201901BANCOS.ZIP,2019-01-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201812,1,True,12/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201812BANCOS.ZIP,2018-12-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201811,1,True,11/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201811BANCOS.ZIP,2018-11-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201810,1,True,10/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201810BANCOS.ZIP,2018-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201809,1,True,09/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201809BANCOS.ZIP,2018-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201808,1,True,08/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201808BANCOS.ZIP,2018-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201807,1,True,07/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201807BANCOS.ZIP,2018-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201806,1,True,06/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201806BANCOS.ZIP,2018-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201805,1,True,05/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201805BANCOS.ZIP,2018-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201804,1,True,04/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201804BANCOS.ZIP,2018-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201803,1,True,03/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201803BANCOS.ZIP,2018-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201802,1,True,02/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201802BANCOS.ZIP,2018-02-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201801,1,True,01/2018,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201801BANCOS.ZIP,2018-01-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201712,1,True,12/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201712BANCOS.ZIP,2017-12-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201711,1,True,11/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201711BANCOS.ZIP,2017-11-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201710,1,True,10/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201710BANCOS.ZIP,2017-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201709,1,True,09/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201709BANCOS.ZIP,2017-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201708,1,True,08/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201708BANCOS.ZIP,2017-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201707,1,True,07/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201707BANCOS.ZIP,2017-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201706,1,True,06/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201706BANCOS.ZIP,2017-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201705,1,True,05/2017,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201705BANCOS.ZIP,2017-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
